t,hp,hc
-5.003753662375,-2.0658969549453238e-22,-2.556271236085266e-22
-5.00350952175,-2.0264268372016592e-22,-2.587719834778329e-22
-5.003265381125,-1.9864773415810397e-22,-2.6185595885110128e-22
-5.0030212405,-1.946057842194474e-22,-2.648783167617471e-22
-5.002777099875,-1.9051778383630225e-22,-2.678383404266675e-22
-5.00253295925,-1.8638469322241143e-22,-2.707353267813529e-22
-5.002288818625,-1.8220748406959561e-22,-2.735685885808745e-22
-5.002044678,-1.7798713771275254e-22,-2.7633745229364205e-22
-5.001800537375,-1.7372464606277396e-22,-2.790412598847962e-22
-5.00155639675,-1.694210116586044e-22,-2.8167936951626145e-22
-5.001312256125,-1.6507724596751823e-22,-2.8425115338597514e-22
-5.0010681155,-1.6069437042874869e-22,-2.8675599985004283e-22
-5.000823974875,-1.5627341621737096e-22,-2.8919331370077694e-22
-5.00057983425,-1.5181542286721211e-22,-2.9156251432381707e-22
-5.000335693625,-1.473214390802376e-22,-2.938630376091067e-22
-5.000091553,-1.4279252263893278e-22,-2.9609433653660525e-22
-4.999847412375,-1.3822973859687386e-22,-2.9825587819076665e-22
-4.99960327175,-1.3363416170647012e-22,-3.003471493956913e-22
-4.999359131125,-1.2900687245158786e-22,-3.023676488362827e-22
-4.9991149905,-1.2434896095870083e-22,-3.0431689638660007e-22
-4.998870849875,-1.196615237288524e-22,-3.061944265557661e-22
-4.99862670925,-1.149456643742129e-22,-3.0799979073678375e-22
-4.998382568625,-1.1020249308524377e-22,-3.097325565320614e-22
-4.998138428,-1.0543312736938991e-22,-3.113923106877027e-22
-4.997894287375,-1.006386907355921e-22,-3.12978656374399e-22
-4.99765014675,-9.582031232690431e-23,-3.144912128196442e-22
-4.997406006125,-9.097912720465225e-23,-3.1592961688590533e-22
-4.9971618655,-8.611627671627607e-23,-3.1729352564927e-22
-4.996917724875,-8.123290624691854e-23,-3.1858260953043125e-22
-4.99667358425,-7.63301671342595e-23,-3.197965601096884e-22
-4.996429443625,-7.140921479667103e-23,-3.209350844020705e-22
-4.996185303,-6.647120932235373e-23,-3.219979079664658e-22
-4.995941162375,-6.151731485253796e-23,-3.2298477389475615e-22
-4.99569702175,-5.654869969083446e-23,-3.2389544439241197e-22
-4.995452881125,-5.156653546193431e-23,-3.2472969845104734e-22
-4.9952087405,-4.657199715731848e-23,-3.2548733323184086e-22
-4.994964599875,-4.1566262859566816e-23,-3.2616816382120604e-22
-4.99472045925,-3.6550513432017016e-23,-3.2677202389999624e-22
-4.994476318625,-3.152593220629397e-23,-3.27298764700223e-22
-4.994232178,-2.6493704846029254e-23,-3.277482570752276e-22
-4.993988037375,-2.1455018767717e-23,-3.281203879415934e-22
-4.99374389675,-1.6411063174069516e-23,-3.284150643512947e-22
-4.993499756125,-1.1363028576720674e-23,-3.2863221040315566e-22
-4.9932556155,-6.3121066193201295e-24,-3.287717686197792e-22
-4.993011474875,-1.2594897759945891e-24,-3.288337012350082e-22
-4.99276733425,3.7936290106517814e-24,-3.2881798715428846e-22
-4.992523193625,8.846056494745028e-24,-3.2872462425663365e-22
-4.992279053,1.3896599483334814e-23,-3.285536287668251e-22
-4.992034912375,1.8944065056248198e-23,-3.283050344271919e-22
-4.99179077175,2.3987260933256068e-23,-3.279788947580759e-22
-4.991546631125,2.902499573387437e-23,-3.275752811690228e-22
-4.9913024905,3.405607920014138e-23,-3.2709428302217197e-22
-4.991058349875,3.9079322483597116e-23,-3.265360076647067e-22
-4.99081420925,4.409353844979561e-23,-3.2590058099706544e-22
-4.990570068625,4.909754207003632e-23,-3.251881477802279e-22
-4.990325928,5.409015055951995e-23,-3.2439887060488398e-22
-4.990081787375,5.907018364198603e-23,-3.2353292993196574e-22
-4.98983764675,6.40364638523649e-23,-3.2259052418050253e-22
-4.989593506125,6.898781675101887e-23,-3.2157186962383898e-22
-4.9893493655,7.392307173526046e-23,-3.2047720258368946e-22
-4.989105224875,7.884106151330619e-23,-3.1930677552995624e-22
-4.98886108425,8.374062282105739e-23,-3.1806085926070878e-22
-4.988616943625,8.862059621247782e-23,-3.1673974099337705e-22
-4.988372803,9.347982758830917e-23,-3.153437289371407e-22
-4.988128662375,9.831716696352266e-23,-3.1387314651846873e-22
-4.98788452175,1.0313146976276043e-22,-3.1232833610778124e-22
-4.987640381125,1.079215966129951e-22,-3.107096571913377e-22
-4.9873962405,1.1268641326318676e-22,-3.0901748554125694e-22
-4.987152099875,1.174247920891263e-22,-3.072522164992482e-22
-4.98690795925,1.2213561124436811e-22,-3.054142617188263e-22
-4.986663818625,1.2681775515460678e-22,-3.0350404976891016e-22
-4.986419678,1.3147011536179852e-22,-3.0152202749735633e-22
-4.986175537375,1.36091589353437e-22,-2.994686564899335e-22
-4.98593139675,1.406810826283386e-22,-2.973444172027615e-22
-4.985687256125,1.452375081370829e-22,-2.9514980689613028e-22
-4.9854431155,1.497597860231938e-22,-2.9288533842791913e-22
-4.985198974875,1.5424684497883985e-22,-2.9055154245108975e-22
-4.98495483425,1.586976213005814e-22,-2.881489648702223e-22
-4.984710693625,1.631110600661786e-22,-2.856781685673212e-22
-4.984466553,1.6748611520651374e-22,-2.831397328316097e-22
-4.984222412375,1.7182174949310385e-22,-2.8053425277363565e-22
-4.98397827175,1.7611693471423458e-22,-2.7786233913763004e-22
-4.983734131125,1.8037065198584827e-22,-2.751246182175636e-22
-4.9834899905,1.84581892118485e-22,-2.7232173208263524e-22
-4.983245849875,1.887496572788734e-22,-2.6945434029190926e-22
-4.98300170925,1.9287295723301645e-22,-2.665231139805263e-22
-4.982757568625,1.9695081482472385e-22,-2.6352874330706396e-22
-4.982513428,2.0098226139483354e-22,-2.6047193038045296e-22
-4.982269287375,2.0496634012236698e-22,-2.5735339357847804e-22
-4.98202514675,2.0890210545891634e-22,-2.541738661220476e-22
-4.981781006125,2.1278862294402837e-22,-2.509340954294074e-22
-4.9815368655,2.1662496862722575e-22,-2.4763484205242146e-22
-4.981292724875,2.204102327400205e-22,-2.442768835075201e-22
-4.98104858425,2.2414351517524624e-22,-2.4086100863102228e-22
-4.980804443625,2.2782392943268684e-22,-2.3738802159048366e-22
-4.980560303,2.3145060047745665e-22,-2.3385873915030737e-22
-4.980316162375,2.3502266591412595e-22,-2.302739915701533e-22
-4.98007202175,2.3853927760634547e-22,-2.2663462372241195e-22
-4.979827881125,2.419995985132879e-22,-2.2294149158225876e-22
-4.9795837405,2.454028062034287e-22,-2.1919546530895778e-22
-4.979339599875,2.4874809103441237e-22,-2.153974270369278e-22
-4.97909545925,2.520346574162673e-22,-2.1154827170613105e-22
-4.978851318625,2.552617227021045e-22,-2.076489057327785e-22
-4.978607178,2.5842851903517823e-22,-2.037002481604853e-22
-4.978363037375,2.615342922338663e-22,-1.9970322943425218e-22
-4.97811889675,2.645783031187444e-22,-1.95658792004468e-22
-4.977874756125,2.6755982652979243e-22,-1.9156788930278138e-22
-4.9776306155,2.7047815226398056e-22,-1.8743148597887783e-22
-4.977386474875,2.7333258467644e-22,-1.8325055738114169e-22
-4.97714233425,2.761224438552081e-22,-1.7902608994981596e-22
-4.976898193625,2.7884706353057265e-22,-1.7475907952856017e-22
-4.976654053,2.8150579487898797e-22,-1.7045053348420239e-22
-4.976409912375,2.840980032941737e-22,-1.661014682595261e-22
-4.97616577175,2.866230703172977e-22,-1.617129103353458e-22
-4.975921631125,2.8908039248596026e-22,-1.5728589515295878e-22
-4.9756774905,2.9146938367329643e-22,-1.528214681657864e-22
-4.975433349875,2.9378947306769087e-22,-1.4832068330703221e-22
-4.97518920925,2.960401058567986e-22,-1.4378460316883725e-22
-4.974945068625,2.982207441367658e-22,-1.3921429905093458e-22
-4.974700928,3.003308664630914e-22,-1.346108504733875e-22
-4.974456787375,3.023699674525065e-22,-1.2997534461643637e-22
-4.97421264675,3.0433755959614733e-22,-1.2530887690433412e-22
-4.973968506125,3.062331711855097e-22,-1.206125497203095e-22
-4.9737243655,3.0805634765994024e-22,-1.1588747275132832e-22
-4.973480224875,3.098066522896678e-22,-1.1113476284814771e-22
-4.97323608425,3.114836650821721e-22,-1.0635554339274552e-22
-4.972991943625,3.1308698315679626e-22,-1.0155094406427562e-22
-4.972747803,3.146162207363001e-22,-9.67221006036128e-23
-4.972503662375,3.1607101079727934e-22,-9.187015503292739e-23
-4.97225952175,3.174510027510009e-22,-8.699625459582833e-23
-4.972015381125,3.1875586413167284e-22,-8.210155199394264e-23
-4.9717712405,3.19985279812367e-22,-7.718720488222143e-23
-4.971527099875,3.211389541691801e-22,-7.225437612083737e-23
-4.97128295925,3.2221660666315197e-22,-6.730423237490741e-23
-4.971038818625,3.2321797705316297e-22,-6.233794508750742e-23
-4.970794678,3.2414282193894497e-22,-5.735668942160659e-23
-4.970550537375,3.249909177511511e-22,-5.236164448461708e-23
-4.97030639675,3.257620554928571e-22,-4.735399220615206e-23
-4.970062256125,3.264560477567309e-22,-4.233491819531353e-23
-4.9698181155,3.2707272447237583e-22,-3.73056107198967e-23
-4.969573974875,3.276119339196585e-22,-3.226726061880953e-23
-4.96932983425,3.2807354176535093e-22,-2.722106090544558e-23
-4.969085693625,3.2845743339065535e-22,-2.216820668500033e-23
-4.968841553,3.287635114239417e-22,-1.7109894728293778e-23
-4.968597412375,3.289916975189873e-22,-1.2047323247779374e-23
-4.96835327175,3.2914193118087416e-22,-6.981691594072304e-24
-4.968109131125,3.2921417211491684e-22,-1.914200004343867e-24
-4.9678649905,3.292083966313472e-22,3.1539507501133e-24
-4.967620849875,3.2912459952760583e-22,8.221559565125403e-24
-4.96737670925,3.2896279641689437e-22,1.3287425408999768e-23
-4.967132568625,3.2872301825736e-22,1.835034744273091e-23
-4.966888428,3.284053160353058e-22,2.340912541500563e-23
-4.966644287375,3.2800976035692455e-22,2.846256000592482e-23
-4.96640014675,3.2753643726863145e-22,3.3509452829047456e-23
-4.966156006125,3.2698545451889255e-22,3.8548607161656954e-23
-4.9659118655,3.263569363530696e-22,4.3578827832795965e-23
-4.965667724875,3.256510260813958e-22,4.8598921724347514e-23
-4.96542358425,3.248678843408746e-22,5.360769781146479e-23
-4.965179443625,3.24007692155968e-22,5.860396796745465e-23
-4.964935303,3.230706464809338e-22,6.358654648133394e-23
-4.964691162375,3.2205696419959495e-22,6.855425107422162e-23
-4.96444702175,3.209668810431474e-22,7.350590302723831e-23
-4.964202881125,3.198006469716585e-22,7.844032642312434e-23
-4.9639587405,3.185585350922313e-22,8.335635043133971e-23
-4.963714599875,3.1724083265994927e-22,8.825280756210609e-23
-4.96347045925,3.1584784748250507e-22,9.312853546306274e-23
-4.963226318625,3.1437990375714794e-22,9.798237619056846e-23
-4.962982178,3.128373437910068e-22,1.0281317695740124e-22
-4.962738037375,3.1122052877288313e-22,1.0761979064547617e-22
-4.96249389675,3.095298346622443e-22,1.1240107480522196e-22
-4.962249756125,3.0776565773661926e-22,1.1715589379944424e-22
-4.9620056155,3.059284117908265e-22,1.2188311817861317e-22
-4.961761474875,3.040185258313332e-22,1.2658162411208845e-22
-4.96151733425,3.020364482782859e-22,1.3125029528362965e-22
-4.961273193625,2.999826423804411e-22,1.3588802133221697e-22
-4.961029053,2.9785759114703163e-22,1.404937002927812e-22
-4.960784912375,2.9566179300874616e-22,1.4506623699919334e-22
-4.96054077175,2.9339576393761615e-22,1.4960454437426164e-22
-4.960296631125,2.9106003497937734e-22,1.541075425014992e-22
-4.9600524905,2.8865515591998674e-22,1.5857416079953551e-22
-4.959808349875,2.861816923873131e-22,1.6300333691978962e-22
-4.95956420925,2.8364022526723075e-22,1.6739401666914056e-22
-4.959320068625,2.810313529804343e-22,1.717451556194806e-22
-4.959075928,2.7835568930589806e-22,1.7605571820785524e-22
-4.958831787375,2.7561386316020488e-22,1.8032467786197761e-22
-4.95858764675,2.7280652212411114e-22,1.8455101965219636e-22
-4.958343506125,2.6993432623597684e-22,1.8873373658968675e-22
-4.9580993655,2.669979518496471e-22,1.9287183248133792e-22
-4.957855224875,2.6399809183271063e-22,1.9696432242428639e-22
-4.95761108425,2.6093545227328787e-22,2.0101023086157167e-22
-4.957366943625,2.5781075647730122e-22,2.05008594852326e-22
-4.957122803,2.54624740501923e-22,2.0895846104441476e-22
-4.956878662375,2.5137815703931752e-22,2.128588891434668e-22
-4.95663452175,2.4807177055496175e-22,2.167089481843483e-22
-4.956390381125,2.4470636276595106e-22,2.205077216126601e-22
-4.9561462405,2.4128272766656646e-22,2.242543033885892e-22
-4.955902099875,2.3780167285764307e-22,2.2794779943003728e-22
-4.95565795925,2.3426402115615953e-22,2.315873295409418e-22
-4.955413818625,2.306706080735186e-22,2.351720254760384e-22
-4.955169678,2.270222828955329e-22,2.3870103238283655e-22
-4.954925537375,2.2331990678429444e-22,2.4217350722479746e-22
-4.95468139675,2.195643547664171e-22,2.455886211929901e-22
-4.954437256125,2.157565154578407e-22,2.4894556004154144e-22
-4.9541931155,2.1189728865148527e-22,2.522435217701836e-22
-4.953948974875,2.0798758625701976e-22,2.5548171801871363e-22
-4.95370483425,2.0402833379407953e-22,2.5865937634430406e-22
-4.953460693625,2.00020467120976e-22,2.617757367494989e-22
-4.953216553,1.95964934408535e-22,2.648300545061933e-22
-4.952972412375,1.9186269538686819e-22,2.6782159971141864e-22
-4.95272827175,1.8771472112556172e-22,2.7074965757395803e-22
-4.952484131125,1.8352199297698059e-22,2.7361352725429406e-22
-4.9522399905,1.792855033686242e-22,2.7641252360049864e-22
-4.951995849875,1.7500625508356302e-22,2.7914597649634686e-22
-4.95175170925,1.7068526178146819e-22,2.8181323232346575e-22
-4.951507568625,1.6632354648335835e-22,2.8441365205298125e-22
-4.951263428,1.6192214241096313e-22,2.869466131056904e-22
-4.951019287375,1.574820922204167e-22,2.8941150875939947e-22
-4.95077514675,1.5300444746032147e-22,2.9180774756089086e-22
-4.950531006125,1.484902691799216e-22,2.94134755170813e-22
-4.9502868655,1.439406273957237e-22,2.963919739939797e-22
-4.950042724875,1.393566003075718e-22,2.9857886222611853e-22
-4.94979858425,1.3473927423842754e-22,3.0069489434438813e-22
-4.949554443625,1.3008974414194505e-22,3.027395629304095e-22
-4.949310303,1.2540911191327601e-22,3.047123755112115e-22
-4.949066162375,1.2069848787797433e-22,3.066128587809526e-22
-4.94882202175,1.1595898918351706e-22,3.0844055564735443e-22
-4.948577881125,1.111917398040279e-22,3.101950257597295e-22
-4.9483337405,1.0639787062968602e-22,3.1187584666992128e-22
-4.948089599875,1.0157851922333491e-22,3.1348261401001857e-22
-4.94784545925,9.673482882002803e-23,3.1501493954674196e-22
-4.947601318625,9.18679486300679e-23,3.1647245264298244e-22
-4.947357178,8.697903416817598e-23,3.1785480277358647e-22
-4.947113037375,8.20692454927614e-23,3.191616543667896e-22
-4.94686889675,7.713974826670163e-23,3.203926915196852e-22
-4.946624756125,7.219171279898644e-23,3.215476158711043e-22
-4.9463806155,6.722631396580263e-23,3.2262614703471487e-22
-4.946136474875,6.224473097121245e-23,3.2362802337580105e-22
-4.94589233425,5.724814663059651e-23,3.245529992840604e-22
-4.945648193625,5.223774799079478e-23,3.2540085036030464e-22
-4.945404053,4.7214725150431426e-23,3.2617136847022436e-22
-4.945159912375,4.2180271537370013e-23,3.268643650223902e-22
-4.94491577175,3.713558330614376e-23,3.2747966911052584e-22
-4.944671631125,3.2081859139135444e-23,3.2801712751640457e-22
-4.9444274905,2.702030027857437e-23,3.28476608577057e-22
-4.944183349875,2.195210964193238e-23,3.288579955909161e-22
-4.94393920925,1.687849200117937e-23,3.2916119217486493e-22
-4.943695068625,1.180065354297829e-23,3.293861200405585e-22
-4.943450928,6.719801616743692e-24,3.2953272043574956e-22
-4.943206787375,1.6371443721574206e-24,3.296009525586882e-22
-4.94296264675,-3.446109450796008e-24,3.295907924617408e-22
-4.942718506125,-8.528750856179128e-24,3.295022390803823e-22
-4.9424743655,-1.360957076384753e-23,3.2933530510904037e-22
-4.942230224875,-1.8687360553715428e-23,3.2909002613712886e-22
-4.94198608425,-2.376091209959084e-23,3.2876645422402365e-22
-4.941741943625,-2.882901808650569e-23,3.283646593416814e-22
-4.941497803,-3.3890472498329597e-23,3.278847321551016e-22
-4.941253662375,-3.894407063971226e-23,3.273267802507384e-22
-4.94100952175,-4.398860959095496e-23,3.2669093027827356e-22
-4.940765381125,-4.9022888593301154e-23,3.259773286600654e-22
-4.9405212405,-5.404570897839233e-23,3.2518613842334935e-22
-4.940277099875,-5.905587463255194e-23,3.243175412587403e-22
-4.94003295925,-6.405219280640611e-23,3.2337173984889196e-22
-4.939788818625,-6.903347297660461e-23,3.2234895045405224e-22
-4.939544678,-7.399852930270836e-23,3.21249413798975e-22
-4.939300537375,-7.894617870168248e-23,3.2007338413010225e-22
-4.93905639675,-8.387524223810624e-23,3.188211348474184e-22
-4.938812256125,-8.878454564532865e-23,3.1749295894775306e-22
-4.9385681155,-9.367291902829302e-23,3.1608916682414233e-22
-4.938323974875,-9.853919730676239e-23,3.146100866111972e-22
-4.93807983425,-1.0338222053994661e-22,3.130560645554502e-22
-4.937835693625,-1.0820083439506465e-22,3.114274653481123e-22
-4.937591553,-1.129938894859377e-22,3.0972466938642043e-22
-4.937347412375,-1.1776024380745769e-22,3.079480787523911e-22
-4.93710327175,-1.2249875992973792e-22,3.0609810857257532e-22
-4.936859131125,-1.272083078418624e-22,3.0417519413589244e-22
-4.9366149905,-1.3188776441446256e-22,3.021797881963009e-22
-4.936370849875,-1.365360132713444e-22,3.001123602076137e-22
-4.93612670925,-1.411519453064157e-22,2.979733966952734e-22
-4.935882568625,-1.4573445880981158e-22,2.957634009755872e-22
-4.935638428,-1.502824606552114e-22,2.93482894830849e-22
-4.935394287375,-1.5479486513350376e-22,2.911324155349404e-22
-4.93515014675,-1.592705945276454e-22,2.8871251639418697e-22
-4.934906006125,-1.6370858099710704e-22,2.8622376969887485e-22
-4.9346618655,-1.6810776417926103e-22,2.836667616798536e-22
-4.934417724875,-1.7246709441353346e-22,2.8104209758323607e-22
-4.93417358425,-1.7678552954741282e-22,2.7835039573828537e-22
-4.933929443625,-1.8106203851647338e-22,2.7559229288169365e-22
-4.933685303,-1.8529559920215934e-22,2.727684402422808e-22
-4.933441162375,-1.8948520051568495e-22,2.6987950607985407e-22
-4.93319702175,-1.936298405649757e-22,2.669261726129253e-22
-4.932952881125,-1.9772852962098727e-22,2.63909139637236e-22
-4.9327087405,-2.017802871038243e-22,2.6082911985684693e-22
-4.932464599875,-2.0578414457802876e-22,2.5768684256404495e-22
-4.93222045925,-2.0973914439823967e-22,2.544830512882546e-22
-4.931976318625,-2.1364434089250377e-22,2.5121850481397826e-22
-4.931732178,-2.1749879930122197e-22,2.4789397553734326e-22
-4.931488037375,-2.213015984073578e-22,2.445102519826087e-22
-4.93124389675,-2.250518277361144e-22,2.410681352048682e-22
-4.930999756125,-2.2874858980368317e-22,2.37568440908701e-22
-4.9307556155,-2.323909997530626e-22,2.340119985906135e-22
-4.930511474875,-2.3597818506808733e-22,2.30399650858873e-22
-4.93026733425,-2.39509287479695e-22,2.267322549215616e-22
-4.930023193625,-2.429834606134524e-22,2.2301067983211244e-22
-4.929779053,-2.4639987339687802e-22,2.192358093736571e-22
-4.929534912375,-2.4975770565245225e-22,2.154085376094277e-22
-4.92929077175,-2.530561530141646e-22,2.1152977296915372e-22
-4.929046631125,-2.562944258888226e-22,2.0760043682695575e-22
-4.9288024905,-2.5947174733219244e-22,2.0362146129397844e-22
-4.928558349875,-2.6258735501426118e-22,1.9959379064391335e-22
-4.92831420925,-2.656405018009009e-22,1.9551838131377084e-22
-4.928070068625,-2.6863045504964994e-22,1.913962009851856e-22
-4.927825928,-2.7155649749265324e-22,1.8722822887240344e-22
-4.927581787375,-2.7441792639988575e-22,1.8301545476392106e-22
-4.92733764675,-2.7721405495376264e-22,1.787588797009894e-22
-4.927093506125,-2.799442118558609e-22,1.74459515198718e-22
-4.9268493655,-2.8260774043822727e-22,1.7011838250481888e-22
-4.926605224875,-2.852040014156159e-22,1.6573651389980938e-22
-4.92636108425,-2.87732369818944e-22,1.6131495049632303e-22
-4.926116943625,-2.9019223799959286e-22,1.5685474370789692e-22
-4.925872803,-2.92583014773259e-22,1.5235695433122347e-22
-4.925628662375,-2.9490412322998867e-22,1.4782265116914605e-22
-4.92538452175,-2.9715500592582234e-22,1.4325291335011137e-22
-4.925140381125,-2.993351200398205e-22,1.3864882750960532e-22
-4.9248962405,-3.0144394057800844e-22,1.3401148911807893e-22
-4.924652099875,-3.0348095907818915e-22,1.2934200148049788e-22
-4.92440795925,-3.05445684329641e-22,1.2464147578716203e-22
-4.924163818625,-3.073376421315326e-22,1.1991103067647736e-22
-4.923919678,-3.0915637586209392e-22,1.1515179214846719e-22
-4.923675537375,-3.1090144579870595e-22,1.103648930222424e-22
-4.92343139675,-3.125724297517885e-22,1.0555147284121792e-22
-4.923187256125,-3.141689240772646e-22,1.0071267793663205e-22
-4.9229431155,-3.156905418759013e-22,9.584966048305869e-23
-4.922698974875,-3.1713691482061986e-22,9.096357877960727e-23
-4.92245483425,-3.185076919059072e-22,8.605559660013582e-23
-4.922210693625,-3.19802539715392e-22,8.112688298546554e-23
-4.921966553,-3.210211440883304e-22,7.617861234651108e-23
-4.921722412375,-3.2216320871608833e-22,7.121196379347894e-23
-4.92147827175,-3.232284546323911e-22,6.622812079266189e-23
-4.921234131125,-3.242166223145644e-22,6.122827124079215e-23
-4.9209899905,-3.2512746933628637e-22,5.621360677553442e-23
-4.920745849875,-3.2596077288955536e-22,5.1185322930348425e-23
-4.92050170925,-3.2671632787483077e-22,4.614461846706321e-23
-4.920257568625,-3.2739394940449624e-22,4.1092695497985594e-23
-4.920013428,-3.2799346749962473e-22,3.6030758459875287e-23
-4.919769287375,-3.2851473453443093e-22,3.0960014777070986e-23
-4.91952514675,-3.2895761988749897e-22,2.5881673928838146e-23
-4.919281006125,-3.2932201186010332e-22,2.07969473475756e-23
-4.9190368655,-3.2960781673316127e-22,1.5707048103715037e-23
-4.918792724875,-3.2981496125582344e-22,1.0613190719277728e-23
-4.91854858425,-3.2994338943733935e-22,5.516590734441303e-24
-4.918304443625,-3.299930642679059e-22,4.184644964001664e-25
-4.918060303,-3.2996396899397753e-22,-4.679971158029265e-24
-4.917816162375,-3.298561031302117e-22,-9.777499134489295e-24
-4.91757202175,-3.2966948673288743e-22,-1.4872902471298777e-23
-4.917327881125,-3.294041591808705e-22,-1.9964964585790206e-23
-4.9170837405,-3.2906017671976526e-22,-2.505246948657135e-23
-4.916839599875,-3.2863761629439617e-22,-3.0134202223483623e-23
-4.91659545925,-3.2813657162006236e-22,-3.52089489556342e-23
-4.916351318625,-3.275571569708343e-22,-4.027549750282024e-23
-4.916107178,-3.2689950484565442e-22,-4.5332637491319496e-23
-4.915863037375,-3.261637661175619e-22,-5.0379160596820933e-23
-4.91561889675,-3.2535010957618136e-22,-5.541386079187848e-23
-4.915374756125,-3.244587254076529e-22,-6.043553516608545e-23
-4.9151306155,-3.234898186894771e-22,-6.544298317815599e-23
-4.914886474875,-3.224436163745821e-22,-7.043500815496018e-23
-4.91464233425,-3.213203610143643e-22,-7.541041637822544e-23
-4.914398193625,-3.201203152319222e-22,-8.036801830456625e-23
-4.914154053,-3.1884376085229356e-22,-8.53066287554128e-23
-4.913909912375,-3.174909952652927e-22,-9.022506623080058e-23
-4.91366577175,-3.1606233646915063e-22,-9.512215452328131e-23
-4.913421631125,-3.1455812074633265e-22,-9.999672250009195e-23
-4.9131774905,-3.1297870048006497e-22,-1.0484760364727059e-22
-4.912933349875,-3.1132444724288115e-22,-1.096736373261202e-22
-4.91268920925,-3.0959575147389623e-22,-1.1447366906712486e-22
-4.912445068625,-3.0779301856009567e-22,-1.1924654940234427e-22
-4.912200928,-3.0591667523144973e-22,-1.2399113661359642e-22
-4.911956787375,-3.0396716382184065e-22,-1.2870629480367276e-22
-4.91171264675,-3.019449435246849e-22,-1.3339089471857313e-22
-4.911468506125,-2.998504928381001e-22,-1.3804381505008075e-22
-4.9112243655,-2.976843065136973e-22,-1.4266394148561248e-22
-4.910980224875,-2.954468961060342e-22,-1.472501672221901e-22
-4.91073608425,-2.9313879151109157e-22,-1.5180139406038514e-22
-4.910491943625,-2.907605382627721e-22,-1.5631653136766248e-22
-4.910247803,-2.8831270020093066e-22,-1.6079449780015317e-22
-4.910003662375,-2.8579585574168405e-22,-1.6523421962966084e-22
-4.90975952175,-2.832106022376017e-22,-1.6963463345689225e-22
-4.909515381125,-2.8055755152220476e-22,-1.7399468406184303e-22
-4.9092712405,-2.778373325492849e-22,-1.783133262270432e-22
